W1,W2,W3,W4,W5,W6,A,Y
0,0,0,1.9085628601999247,-1.1399431887364984,0.8360391097049864,0,0
0,0,1,1.4045156452230758,-0.313607980394028,-0.6607598664702128,0,1
0,0,1,1.6634540144653718,0.6412611779893558,0.2463009670298795,0,0
1,0,1,0.5319809910326786,1.4521490405228712,-2.064232124036975,0,1
1,0,1,1.6247971467317974,0.478315001244109,-1.985842604079321,0,0
0,0,0,2.1433156169690304,-0.4783272825992546,-1.4478216238551285,0,1
0,0,1,2.266598192472201,3.530659042924019,0.0105757794829778,0,0
1,1,0,1.3992507446309697,1.5550902308567998,-1.5682484114094415,0,1
0,1,1,2.464222015963971,-0.0848539144824531,-3.676826575873991,0,1
1,0,0,1.0724507646641916,1.0915701324837648,-1.433414465639634,1,1
1,0,1,2.500924644379993,-0.1028363745210143,-1.4826920056103752,1,0
0,0,0,1.1258752018678595,1.307545970913968,-1.228466123163837,1,1
0,0,0,0.9101795248499897,1.629542176076137,1.9365124708735209,0,1
0,1,0,1.6297715834240407,1.0312344951657466,-0.7376272406364772,0,1
1,0,1,-0.2931867550165735,2.2413526090617784,0.5563772382785115,1,0
0,0,1,1.6137542796337685,2.562761109083897,-1.9764664520854376,0,1
0,1,0,1.2448371335335209,-0.9864062151049546,-1.7475480834925814,0,0
0,1,1,1.5013875872346825,-0.4970013574687157,-1.2040212372574397,1,0
0,0,0,2.7914750103440387,-0.9622534244110224,0.6691709930790111,0,0
0,0,0,-0.1262379821334868,2.6144785825955883,0.5566431258540883,0,1
1,0,0,2.1305736655302034,-1.5718984563715892,-0.2580872060358576,0,0
1,1,0,0.5712344891243228,-1.0290372305143414,-1.7591335034920246,0,0
0,1,0,2.431229038810633,-1.2836057789480435,0.0735164953135649,0,0
1,0,0,0.6954123131517774,-0.3648827387036339,0.1983972741212403,0,0
1,0,0,2.512415757397637,-1.749833929953247,-1.0522043498466032,1,1
0,1,0,-1.0594883858436854,1.5543636059775212,-1.0011866611831608,1,1
0,0,0,0.6567845782621988,0.3627616292392341,-1.259957967378658,0,1
1,1,1,1.930637276125876,0.5058216426389064,0.1991136712968059,0,1
0,0,0,0.1141825413523376,-1.442672747864165,-1.2805557295884749,1,0
0,0,1,2.2231577682545813,1.0873657041123037,1.6576867726098412,0,1
1,1,1,2.254400501010993,1.1948565433405176,-1.644783421677835,1,1
1,1,0,1.9463844790472664,-0.6074855959294395,-2.0529544343446697,1,1
0,0,1,2.3334786040981417,0.8891739881658327,-0.159312673987355,0,0
1,0,0,0.7894706441997077,-0.2526888371861468,-1.108550059048667,1,1
1,1,0,2.8492266670616058,0.4586580572178184,0.3206570982005461,1,1
0,1,1,2.454962701654396,-0.8983589651870121,-0.3820703344431382,1,1
1,0,1,0.1695011627938506,-0.4193212386233969,0.114802073780878,0,0
1,1,0,0.9027776635985472,-0.2012673712737217,-0.0071600181914878,0,1
1,0,0,2.0571175473743244,1.955025834502644,-0.3062908319551419,0,1
1,1,0,1.9226815956420344,-1.1467268328914182,-2.696377021000136,0,1
1,0,0,2.3997964969772223,-1.491985534327347,0.9269227406323528,1,1
1,1,1,-1.6666709093022745,-0.5825854297478248,2.7027179082296104,1,1
1,0,1,1.8732655238305225,0.998963142580878,0.0906281487749898,0,0
1,0,0,3.299884241958071,-0.7689670111296699,1.2783296333052503,0,1
1,0,0,0.9058911966169084,0.4243665010914748,-0.672418818457497,0,1
1,1,1,1.4119963721463944,0.7543600835039409,0.5786310711806887,1,0
1,0,1,-0.5396413342901548,0.7669474849449667,-0.3434653215693323,1,1
1,1,0,0.1407518567996016,-0.6215459961848178,1.2380605802774447,0,0
1,0,0,-0.9858755388783772,2.039339370974649,-0.5527985950887028,0,1
1,0,0,1.8166503910012697,0.4131194650228005,0.4207284070571295,0,1
1,0,1,1.8441535485661853,1.760459253085645,-1.2154695915768698,1,0
0,0,0,2.286654222110841,1.619137768428725,-1.3701933017068983,0,0
0,0,0,-0.0845792603529803,0.6551312988589137,0.0910481380472508,1,1
1,1,1,1.358828287710667,1.8699626505484472,-0.0464056801846159,1,1
1,1,0,0.957793986704058,2.751423737974214,-0.6538950350714127,1,1
