W1,W2,W3,W4,W5,W6,A,Y
1,0,0,-0.9238073349289707,0.42747242025174376,0.04057895753436366,0,0
1,0,0,1.1933685110687036,1.9479535413085318,1.8514085293799167,1,1
1,0,1,0.6574641594463078,-1.5022674487944816,-0.040120600739610934,1,0
1,1,1,-0.03396528512429178,-0.3370951485402847,0.2191631619393758,0,1
1,1,1,-0.4003929858812219,-0.33211090646456204,-1.5159007912000981,0,0
0,1,0,0.649314479705606,1.1024630867548275,1.0572459122688491,0,1
1,0,0,1.378419554847238,-0.2357250026956554,0.7302179187273456,1,1
0,1,0,-1.92979534480279,0.42588321657931505,0.031019497894152592,0,0
0,1,0,0.23387359056926554,1.3417600707703412,1.4813004487980646,0,0
0,1,1,-0.30046530679382694,0.7754678761316596,1.7851861845072832,0,0
1,0,0,-0.7442297007400367,-0.40668098340625386,-1.3561096675755353,0,1
0,0,0,-0.3412559945570482,-0.4230562404154202,-0.5025286574209213,0,1
1,1,0,0.13451712482584394,-0.2565378813042631,0.16318686863384388,0,1
1,0,0,1.8695655198948518,0.16536045077124326,0.4035181521865844,1,1
0,1,1,0.05705716334610017,-0.8468086306615648,-0.6507040356591967,0,1
1,1,1,-0.42976675474571086,-0.0439453344446489,-0.591131742020795,0,1
0,0,0,-1.2271901478945269,0.5868325959229046,-0.7811258480695007,0,0
0,1,1,0.773999258696345,-0.45731791762145013,2.427912670652046,1,1
0,0,1,-0.7518707579395738,-0.46723319177552763,-0.6717580676544398,0,0
1,1,0,-0.11374508043615052,0.2953631664521686,1.5650943709029643,0,1
0,0,0,0.7130867998080886,0.8091036574800972,-0.0716282120842795,0,0
1,1,0,0.05237060233433367,-1.3296225653645286,-0.3444279695675705,0,1
1,1,0,-0.38622864109822963,-0.9757507553867028,-1.2923924620005494,0,1
1,1,0,-0.17271986273617881,1.2925171335078192,0.9121563655012639,0,1
0,1,1,0.8983490183938353,-0.015102165126223826,2.1113524122006893,0,1
0,0,1,-0.019636220812203332,-1.0921716157456347,1.389399050656262,1,0
1,0,0,0.2426731978095983,0.12714869832207104,1.0119742979401687,1,1
